participant,Q_blue,Q_green,Q_red,belief_blue,belief_green,belief_red
5d1a8d1531978f00019c42bd,0.017915982149996863,0.9991398503696054,2.760067830935768e-4,25,76,25
605b838b80f022835fc293fb,0.05837512943652416,9.416732635087799e-4,0.05858644543970487,55,41,18
67d0094243dae460e5682b51,0.731309068830998,0.23779983130342638,0.23495168127974655,91,67,37
6928a6394052fbe76783ed32,0.0019390620037295486,0.007204302116671952,0.8483310252603481,60,80,15
6985a1a2a9b075341a3e65b0,0.05707296347666366,0.057072274734483515,0.06619057881409186,50,50,50
69947fa1a4c3da138296e3c4,0.04725736942396039,0.9525878448589156,0.9520776929082164,72,37,59
69a1086e0fba8ea789c2ee15,0.9416043829612721,0.005691249444860184,2.6096909486927415e-5,50,50,50
69a14f0c9cb4d84e02cab2ea,0.949466001896651,0.05235522046396467,0.061748916563009106,50,50,50
69ef69fa85d57cec3354845f,0.4201513675520665,0.6539589948497824,0.4220135234506961,50,50,50
6a02cd6171c4d3dcce16c504,0.005029995701315765,0.9550893704539504,0.09400986599878348,80,60,50
