participant,beta_fast,beta_fast_lo,beta_fast_hi,beta_slow,beta_slow_lo,beta_slow_hi
5d1a8d1531978f00019c42bd,2.652193508260803,1.6453305602604116,3.803276080280046,2.614804699842429,1.5232742801700172,3.8643635415013304
605b838b80f022835fc293fb,3.033583069599626,2.0252391651779904,4.21357261886416,3.1249708309789774,2.0962515865352227,4.338500440516924
67d0094243dae460e5682b51,1.5037728724687967,-0.4760104247423399,3.0355676991671223,1.1284052258540629,-0.3014151856407976,2.440564482402479
6928a6394052fbe76783ed32,2.386170863553976,1.2820864036149553,3.601008464139264,2.555436428798065,1.5808784175812283,3.6994328285541966
6985a1a2a9b075341a3e65b0,2.1112245125079574,1.161372599039325,3.0412818235635584,2.4982885724208987,1.5286253707859598,3.5648040285246076
69947fa1a4c3da138296e3c4,2.358916726683386,1.1607241727075783,3.758469030725134,1.7316141971116439,0.7990628606572914,2.644001221884855
69a1086e0fba8ea789c2ee15,4.11695877774592,2.6769207187615427,5.868168969717185,3.3842752774514087,2.2359700107917475,4.864071687163334
69a14f0c9cb4d84e02cab2ea,1.5458713811850942,0.598427385791395,2.528402876397505,1.1568044651181553,0.20351202953027286,2.1222657735065997
69ef69fa85d57cec3354845f,1.6846876641468453,0.633372664424463,2.8095579979693035,1.9825534916213836,0.9691244532027019,3.069881787912141
6a02cd6171c4d3dcce16c504,2.9773487415639313,1.4754545309428386,5.295686990677204,2.380345030582644,1.095058600567719,4.000030722917308
