scarcity,p_stay_win,p_stay_lose,wsls_effect,alpha,beta
0.0,,0.566110381001,,0.3,4
0.05,0.8065674124062603,0.5657929020794593,0.24077451032680097,0.3,4
0.1,0.8014213480980663,0.5659628655783515,0.2354584825197148,0.3,4
0.15,0.7952368752389136,0.5644983912488586,0.23073848399005503,0.3,4
0.2,0.791703035287224,0.5645136325722586,0.22718940271496535,0.3,4
0.25,0.7861244654800811,0.5590270351971036,0.22709743028297746,0.3,4
0.3,0.780448733275174,0.5561834468860422,0.2242652863891318,0.3,4
0.35,0.7740822401625197,0.5515785412166466,0.22250369894587307,0.3,4
0.4,0.7695687989929938,0.5466528701779498,0.22291592881504396,0.3,4
0.45,0.76253751800359,0.5380189799401695,0.2245185380634206,0.3,4
0.5,0.7553355570766729,0.5302912541604129,0.22504430291626,0.3,4
0.55,0.749366202815447,0.5237921391636408,0.2255740636518062,0.3,4
0.6,0.740288399504573,0.5118342128896834,0.2284541866148896,0.3,4
0.65,0.7324680032437453,0.4998694435291403,0.23259855971460497,0.3,4
0.7,0.7197825476687036,0.4887829898237885,0.23099955784491516,0.3,4
0.75,0.7082221622961413,0.4684123908724265,0.23980977142371485,0.3,4
0.8,0.6941793197464843,0.4500831954640201,0.2440961242824642,0.3,4
0.85,0.6769872038256072,0.42302948241162974,0.25395772141397743,0.3,4
0.9,0.6577680679827981,0.39436998008008206,0.263398087902716,0.3,4
0.95,0.6300170339857237,0.3541714152223225,0.27584561876340125,0.3,4
1.0,0.5943824144705965,,,0.3,4
